Company Sp. z o.o.             Advance Tax Return: Report Date 01.01.2015 to 31.12.2999             Time 16:01:26     Date  27.04.2015
Warsaw            Ledger 0L                                                                   RUMUFDV01/S.PACZKOWSKA Page           1


		Output tax: Line items

			Type		DocumentNo		Reference		Pstng Date		Doc. Date	Rep. Date		Document Header Text		Customer		Business PartnerName		Name 2	Street	City	PostalCode	G/L	ISO	Tax Number 3	VAT Registration No.	Trs	Tx	Description	Rate	           Gross amount	        Tax base amount	 Output Tax Pay.	Tax acct
			R1		8100000437		8000000015		02.04.2015		02.04.2015	31.12.2098				51921730								70700000			5961364680	MWS	A8	Output tax 23%	 23,000	                 15,01	                 12,20	           2,81	44270000
			R1		8100000437		8000000015		02.04.2015		02.04.2015	31.12.2098				51921730								70700000			5961364680	MWS	A8	Output tax 23%	 23,000	                 15,00	                 12,20	           2,80	44270000
			R1		8100000437		8000000015		02.04.2015		02.04.2015	31.12.2098				51921730								70700000			5961364680	MWS	A8	Output tax 23%	 23,000	              3.519,01	              2.860,98	         658,03	44270000
			R1		8100000565		8000000018		03.04.2015		03.04.2015	31.12.2098				52032626								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100000565		8000000018		03.04.2015		03.04.2015	31.12.2098				52032626								70700000				MWS	A8	Output tax 23%	 23,000	                  3,00	                  2,44	           0,56	44270000
			R1		8100000565		8000000018		03.04.2015		03.04.2015	31.12.2098				52032626								70700000				MWS	A8	Output tax 23%	 23,000	                 26,00	                 21,14	           4,86	44270000
			R1		8100000565		8000000018		03.04.2015		03.04.2015	31.12.2098				52032626								70700000				MWS	A8	Output tax 23%	 23,000	                220,00	                178,86	          41,14	44270000
			R1		8100000589		8000000021		03.04.2015		03.04.2015	31.12.2098				52032049								70700000				MWS	A8	Output tax 23%	 23,000	                318,00	                258,54	          59,46	44270000
			R1		8100000589		8000000021		03.04.2015		03.04.2015	31.12.2098				52032049								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100000591		8000000024		03.04.2015		03.04.2015	31.12.2098				51703992								70700000				MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100000591		8000000024		03.04.2015		03.04.2015	31.12.2098				51703992								70700000				MWS	A2	Output tax 8%	  8,000	                180,00	                166,67	          13,33	44270000
			R1		8100000591		8000000024		03.04.2015		03.04.2015	31.12.2098				51703992								70700000				MWS	A8	Output tax 23%	 23,000	                 67,00	                 54,47	          12,53	44270000
			R1		8100000604		8000000027		03.04.2015		03.04.2015	31.12.2098				52032476								70700000			6581857075	MWS	A8	Output tax 23%	 23,000	                 12,90	                 10,49	           2,41	44270000
			R1		8100000604		8000000027		03.04.2015		03.04.2015	31.12.2098				52032476								70700000			6581857075	MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100000606		8000000030		03.04.2015		03.04.2015	31.12.2098				51705667								70700000				MWS	A8	Output tax 23%	 23,000	                258,00	                209,76	          48,24	44270000
			R1		8100000606		8000000030		03.04.2015		03.04.2015	31.12.2098				51705667								70700000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100000617		8000000033		03.04.2015		03.04.2015	31.12.2098				50089754								70700000				MWS	A8	Output tax 23%	 23,000	                 23,99	                 19,50	           4,49	44270000
			R1		8100000617		8000000033		03.04.2015		03.04.2015	31.12.2098				50089754								70700000				MWS	A2	Output tax 8%	  8,000	                 26,00	                 24,07	           1,93	44270000
			R1		8100000798		8000000036		03.04.2015		03.04.2015	31.12.2098				50654692								70700000				MWS	A8	Output tax 23%	 23,000	                416,00	                338,21	          77,79	44270000
			R1		8100000827		8000000039		03.04.2015		03.04.2015	31.12.2098				51908398								70700000				MWS	A2	Output tax 8%	  8,000	                 12,19	                 11,29	           0,90	44270000
			R1		8100002898		8000000095		07.04.2015		07.04.2015	31.12.2098				51837355								70700000				MWS	A8	Output tax 23%	 23,000	              1.669,00	              1.356,91	         312,09	44270000
			R1		8100002898		8000000095		07.04.2015		07.04.2015	31.12.2098				51837355								70700000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100003439		8000000098		07.04.2015		07.04.2015	31.12.2098				51961614								70700000				MWS	A2	Output tax 8%	  8,000	                399,00	                369,44	          29,56	44270000
			R1		8100003482		8000000101		07.04.2015		07.04.2015	31.12.2098				51903514								70700000				MWS	A8	Output tax 23%	 23,000	                179,00	                145,53	          33,47	44270000
			R1		8100003502		8000000104		07.04.2015		07.04.2015	31.12.2098				50134465								70700000				MWS	A8	Output tax 23%	 23,000	                 45,01	                 36,59	           8,42	44270000
			R1		8100003506		8000000107		07.04.2015		07.04.2015	31.12.2098				51892987								70700000				MWS	A8	Output tax 23%	 23,000	                469,00	                381,30	          87,70	44270000
			R1		8100003527		8000000110		07.04.2015		07.04.2015	31.12.2098				50100760								70700000				MWS	A8	Output tax 23%	 23,000	                 45,01	                 36,59	           8,42	44270000
			R1		8100003527		8000000110		07.04.2015		07.04.2015	31.12.2098				50100760								70700000				MWS	A8	Output tax 23%	 23,000	                 25,01	                 20,33	           4,68	44270000
			R1		8100003576		8000000113		07.04.2015		07.04.2015	31.12.2098				50212075								70700000				MWS	A8	Output tax 23%	 23,000	              1.899,00	              1.543,90	         355,10	44270000
			R1		8100003577		8000000116		07.04.2015		07.04.2015	31.12.2098				52033700								70700000				MWS	A8	Output tax 23%	 23,000	              1.539,00	              1.251,22	         287,78	44270000
			R1		8100003577		8000000116		07.04.2015		07.04.2015	31.12.2098				52033700								70700000				MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100003600		8000000119		07.04.2015		07.04.2015	31.12.2098				51695982								70700000				MWS	A8	Output tax 23%	 23,000	                 59,00	                 47,97	          11,03	44270000
			R1		8100003600		8000000119		07.04.2015		07.04.2015	31.12.2098				51695982								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100003635		8000000122		07.04.2015		07.04.2015	31.12.2098				51957214								70700000				MWS	A8	Output tax 23%	 23,000	                299,00	                243,09	          55,91	44270000
			R1		8100003681		8000000125		07.04.2015		07.04.2015	31.12.2098				51949491								70700000				MWS	A8	Output tax 23%	 23,000	                123,00	                100,00	          23,00	44270000
			R1		8100003681		8000000125		07.04.2015		07.04.2015	31.12.2098				51949491								70700000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100003682		8000000128		07.04.2015		07.04.2015	31.12.2098				52013690								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100003682		8000000128		07.04.2015		07.04.2015	31.12.2098				52013690								70700000				MWS	A8	Output tax 23%	 23,000	                219,00	                178,05	          40,95	44270000
			R1		8100003702		8000000131		07.04.2015		07.04.2015	31.12.2098				51949035								70700000				MWS	A8	Output tax 23%	 23,000	                303,00	                246,34	          56,66	44270000
			R1		8100003702		8000000131		07.04.2015		07.04.2015	31.12.2098				51949035								70700000				MWS	A8	Output tax 23%	 23,000	                 17,00	                 13,82	           3,18	44270000
			R1		8100003722		8000000134		07.04.2015		07.04.2015	31.12.2098				50112945								70700000				MWS	A8	Output tax 23%	 23,000	                185,00	                150,41	          34,59	44270000
			R1		8100003722		8000000134		07.04.2015		07.04.2015	31.12.2098				50112945								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100003756		8000000137		07.04.2015		07.04.2015	31.12.2098				51961818								70403000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100003756		8000000137		07.04.2015		07.04.2015	31.12.2098				51961818								70403000				MWS	A8	Output tax 23%	 23,000	                153,00	                124,39	          28,61	44270000
			R1		8100003773		8000000140		07.04.2015		07.04.2015	31.12.2098				51691908								70700000				MWS	A8	Output tax 23%	 23,000	                268,00	                217,89	          50,11	44270000
			R1		8100003789		8000000143		07.04.2015		07.04.2015	31.12.2098				52029614								70700000			5921541360	MWS	A8	Output tax 23%	 23,000	                 66,18	                 53,80	          12,38	44270000
			R1		8100003789		8000000143		07.04.2015		07.04.2015	31.12.2098				52029614								70700000			5921541360	MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100003823		8000000146		07.04.2015		07.04.2015	31.12.2098				51857248								70700000				MWS	A8	Output tax 23%	 23,000	                279,00	                226,83	          52,17	44270000
			R1		8100003828		8000000149		07.04.2015		07.04.2015	31.12.2098				50759374								70700000				MWS	A8	Output tax 23%	 23,000	                174,00	                141,46	          32,54	44270000
			R1		8100003875		8000000152		07.04.2015		07.04.2015	31.12.2098				51733575								70700000				MWS	A8	Output tax 23%	 23,000	                170,99	                139,02	          31,97	44270000
			R1		8100003875		8000000152		07.04.2015		07.04.2015	31.12.2098				51733575								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100003877		8000000155		07.04.2015		07.04.2015	31.12.2098				51729470								70700000				MWS	A8	Output tax 23%	 23,000	                 92,00	                 74,80	          17,20	44270000
			R1		8100003877		8000000155		07.04.2015		07.04.2015	31.12.2098				51729470								70700000				MWS	A8	Output tax 23%	 23,000	                 12,00	                  9,76	           2,24	44270000
			R1		8100003878		8000000158		07.04.2015		07.04.2015	31.12.2098				51923929								70700000				MWS	A8	Output tax 23%	 23,000	              1.299,00	              1.056,10	         242,90	44270000
			R1		8100003879		8000000161		07.04.2015		07.04.2015	31.12.2098				51358479								70700000				MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100003879		8000000161		07.04.2015		07.04.2015	31.12.2098				51358479								70700000				MWS	A8	Output tax 23%	 23,000	                 40,00	                 32,52	           7,48	44270000
			R1		8100003901		8000000164		07.04.2015		07.04.2015	31.12.2098				51142602								70700000				MWS	A8	Output tax 23%	 23,000	                 69,00	                 56,10	          12,90	44270000
			R1		8100003931		8000000167		07.04.2015		07.04.2015	31.12.2098				52029997								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100003931		8000000167		07.04.2015		07.04.2015	31.12.2098				52029997								70700000				MWS	A8	Output tax 23%	 23,000	              2.777,00	              2.257,72	         519,28	44270000
			R1		8100003963		8000000170		07.04.2015		07.04.2015	31.12.2098				50134578								70700000				MWS	A2	Output tax 8%	  8,000	                119,01	                110,19	           8,82	44270000
			R1		8100003963		8000000170		07.04.2015		07.04.2015	31.12.2098				50134578								70403000				MWS	A8	Output tax 23%	 23,000	                 15,01	                 12,20	           2,81	44270000
			R1		8100003984		8000000173		07.04.2015		07.04.2015	31.12.2098				50134578								70700000				MWS	A8	Output tax 23%	 23,000	                 23,99	                 19,50	           4,49	44270000
			R1		8100003984		8000000173		07.04.2015		07.04.2015	31.12.2098				50134578								70700000				MWS	A8	Output tax 23%	 23,000	                 15,01	                 12,20	           2,81	44270000
			R1		8100003984		8000000173		07.04.2015		07.04.2015	31.12.2098				50134578								70700000				MWS	A2	Output tax 8%	  8,000	                 26,00	                 24,07	           1,93	44270000
			R1		8100004049		8000000176		07.04.2015		07.04.2015	31.12.2098				51980055								70700000			7231399425	MWS	A8	Output tax 23%	 23,000	              1.560,00	              1.268,29	         291,71	44270000
			R1		8100004049		8000000176		07.04.2015		07.04.2015	31.12.2098				51980055								70700000			7231399425	MWS	A8	Output tax 23%	 23,000	                780,00	                634,15	         145,85	44270000
			R1		8100004049		8000000176		07.04.2015		07.04.2015	31.12.2098				51980055								70700000			7231399425	MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100004050		8000000179		07.04.2015		07.04.2015	31.12.2098				51983645								70700000			9661902448	MWS	A8	Output tax 23%	 23,000	                175,00	                142,28	          32,72	44270000
			R1		8100004050		8000000179		07.04.2015		07.04.2015	31.12.2098				51983645								70700000			9661902448	MWS	A8	Output tax 23%	 23,000	                 17,00	                 13,82	           3,18	44270000
			R1		8100004058		8000000182		07.04.2015		07.04.2015	31.12.2098				51816837								70700000				MWS	A8	Output tax 23%	 23,000	              1.429,00	              1.161,79	         267,21	44270000
			R1		8100004058		8000000182		07.04.2015		07.04.2015	31.12.2098				51816837								70700000				MWS	A8	Output tax 23%	 23,000	                 25,01	                 20,33	           4,68	44270000
			R1		8100004066		8000000185		07.04.2015		07.04.2015	31.12.2098				51837105								70700000				MWS	A8	Output tax 23%	 23,000	                159,00	                129,27	          29,73	44270000
			R1		8100004066		8000000185		07.04.2015		07.04.2015	31.12.2098				51837105								70700000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100004075		8000000188		07.04.2015		07.04.2015	31.12.2098				52001177								70700000				MWS	A8	Output tax 23%	 23,000	                160,00	                130,08	          29,92	44270000
			R1		8100004075		8000000188		07.04.2015		07.04.2015	31.12.2098				52001177								70700000				MWS	A8	Output tax 23%	 23,000	                  8,00	                  6,50	           1,50	44270000
			R1		8100004095		8000000191		07.04.2015		07.04.2015	31.12.2098				51776001								70700000				MWS	A8	Output tax 23%	 23,000	                343,99	                279,67	          64,32	44270000
			R1		8100004095		8000000191		07.04.2015		07.04.2015	31.12.2098				51776001								70700000				MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100004096		8000000194		07.04.2015		07.04.2015	31.12.2098				50391514								70700000				MWS	A8	Output tax 23%	 23,000	                212,00	                172,36	          39,64	44270000
			R1		8100004096		8000000194		07.04.2015		07.04.2015	31.12.2098				50391514								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100004097		8000000197		07.04.2015		07.04.2015	31.12.2098				51687522								70700000				MWS	A8	Output tax 23%	 23,000	                948,99	                771,54	         177,45	44270000
			R1		8100004097		8000000197		07.04.2015		07.04.2015	31.12.2098				51687522								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100004104		8000000200		07.04.2015		07.04.2015	31.12.2098				51849980								70700000				MWS	A8	Output tax 23%	 23,000	                 25,01	                 20,33	           4,68	44270000
			R1		8100004104		8000000200		07.04.2015		07.04.2015	31.12.2098				51849980								70700000				MWS	A8	Output tax 23%	 23,000	                539,00	                438,21	         100,79	44270000
			R1		8100004105		8000000203		07.04.2015		07.04.2015	31.12.2098				51942743								70700000			7711451568	MWS	A8	Output tax 23%	 23,000	                209,00	                169,92	          39,08	44270000
			R1		8100004105		8000000203		07.04.2015		07.04.2015	31.12.2098				51942743								70700000			7711451568	MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100004147		8000000206		07.04.2015		07.04.2015	31.12.2098				51877515								70700000				MWS	A8	Output tax 23%	 23,000	                259,00	                210,57	          48,43	44270000
			R1		8100004147		8000000206		07.04.2015		07.04.2015	31.12.2098				51877515								70700000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                499,00	                405,69	          93,31	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                509,00	                413,82	          95,18	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                263,00	                213,82	          49,18	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                147,00	                119,51	          27,49	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                219,00	                178,05	          40,95	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                329,00	                267,48	          61,52	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                869,00	                706,50	         162,50	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                266,00	                216,26	          49,74	44270000
			R1		8100004157		8000000209		07.04.2015		07.04.2015	31.12.2098				51807861								70700000			5422699143	MWS	A8	Output tax 23%	 23,000	                319,00	                259,35	          59,65	44270000
			R1		8100004195		8000000212		07.04.2015		07.04.2015	31.12.2098				51960715								70700000				MWS	A8	Output tax 23%	 23,000	                619,00	                503,25	         115,75	44270000
			R1		8100004195		8000000212		07.04.2015		07.04.2015	31.12.2098				51960715								70700000				MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100004202		8000000215		07.04.2015		07.04.2015	31.12.2098				50141517								70700000				MWS	A8	Output tax 23%	 23,000	                769,00	                625,20	         143,80	44270000
			R1		8100004202		8000000215		07.04.2015		07.04.2015	31.12.2098				50141517								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100004218		8000000218		07.04.2015		07.04.2015	31.12.2098				51727227								70700000				MWS	A8	Output tax 23%	 23,000	                128,01	                104,07	          23,94	44270000
			R1		8100004227		8000000221		07.04.2015		07.04.2015	31.12.2098				51893744								70700000				MWS	A8	Output tax 23%	 23,000	                176,00	                143,09	          32,91	44270000
			R1		8100004230		8000000224		07.04.2015		07.04.2015	31.12.2098				51981985								70700000				MWS	A8	Output tax 23%	 23,000	                148,01	                120,33	          27,68	44270000
			R1		8100004234		8000000227		07.04.2015		07.04.2015	31.12.2098				51873333								70700000				MWS	A8	Output tax 23%	 23,000	                 58,00	                 47,15	          10,85	44270000
			R1		8100004237		8000000230		07.04.2015		07.04.2015	31.12.2098				51973762								70700000				MWS	A8	Output tax 23%	 23,000	              1.899,00	              1.543,90	         355,10	44270000
			R1		8100004238		8000000233		07.04.2015		07.04.2015	31.12.2098				51935338								70700000				MWS	A8	Output tax 23%	 23,000	                 69,00	                 56,10	          12,90	44270000
			R1		8100004247		8000000236		07.04.2015		07.04.2015	31.12.2098				51997972								70700000				MWS	A8	Output tax 23%	 23,000	                269,00	                218,70	          50,30	44270000
			R1		8100004248		8000000239		07.04.2015		07.04.2015	31.12.2098				51936097								70700000				MWS	A8	Output tax 23%	 23,000	              1.049,01	                852,85	         196,16	44270000
			R1		8100004260		8000000242		07.04.2015		07.04.2015	31.12.2098				51953790								70700000				MWS	A8	Output tax 23%	 23,000	                225,00	                182,93	          42,07	44270000
			R1		8100004261		8000000245		07.04.2015		07.04.2015	31.12.2098				52002494								70700000				MWS	A8	Output tax 23%	 23,000	              2.138,99	              1.739,02	         399,97	44270000
			R1		8100004261		8000000245		07.04.2015		07.04.2015	31.12.2098				52002494								70700000				MWS	A8	Output tax 23%	 23,000	                  5,01	                  4,07	           0,94	44270000
			R1		8100004262		8000000248		07.04.2015		07.04.2015	31.12.2098				50217535								70700000				MWS	A8	Output tax 23%	 23,000	                 65,01	                 52,85	          12,16	44270000
			R1		8100004270		8000000251		07.04.2015		07.04.2015	31.12.2098				51844194								70700000				MWS	A8	Output tax 23%	 23,000	                128,01	                104,07	          23,94	44270000
			R1		8100004276		8000000254		07.04.2015		07.04.2015	31.12.2098				51869725								70700000				MWS	A2	Output tax 8%	  8,000	                335,01	                310,19	          24,82	44270000
			R1		8100004277		8000000257		07.04.2015		07.04.2015	31.12.2098				51869725								70700000				MWS	A2	Output tax 8%	  8,000	                335,01	                310,19	          24,82	44270000
			R1		8100004283		8000000260		07.04.2015		07.04.2015	31.12.2098				51982230								70700000				MWS	A8	Output tax 23%	 23,000	                 75,01	                 60,98	          14,03	44270000
			R1		8100004284		8000000263		07.04.2015		07.04.2015	31.12.2098				50398804								70700000			5211233525	MWS	A8	Output tax 23%	 23,000	              1.069,01	                869,11	         199,90	44270000
			R1		8100004284		8000000263		07.04.2015		07.04.2015	31.12.2098				50398804								70700000			5211233525	MWS	A8	Output tax 23%	 23,000	                 20,00	                 16,26	           3,74	44270000
			R1		8100004284		8000000263		07.04.2015		07.04.2015	31.12.2098				50398804								70700000			5211233525	MWS	A8	Output tax 23%	 23,000	                199,00	                161,79	          37,21	44270000
			R1		8100004288		8000000266		07.04.2015		07.04.2015	31.12.2098				51715234								70700000				MWS	A8	Output tax 23%	 23,000	                185,00	                150,41	          34,59	44270000
			R1		8100004295		8000000269		07.04.2015		07.04.2015	31.12.2098				51825682								70700000				MWS	A8	Output tax 23%	 23,000	                229,00	                186,18	          42,82	44270000
			R1		8100004296		8000000272		07.04.2015		07.04.2015	31.12.2098				50053944								70700000			7162772570	MWS	A8	Output tax 23%	 23,000	                220,99	                179,67	          41,32	44270000
			R1		8100004303		8000000275		07.04.2015		07.04.2015	31.12.2098				50071480								70700000				MWS	A2	Output tax 8%	  8,000	                169,00	                156,48	          12,52	44270000
			R1		8100004305		8000000278		07.04.2015		07.04.2015	31.12.2098				51977554								70700000				MWS	A8	Output tax 23%	 23,000	                 60,00	                 48,78	          11,22	44270000
			R1		8100004309		8000000281		07.04.2015		07.04.2015	31.12.2098				50054347								70700000			9551722886	MWS	A8	Output tax 23%	 23,000	                739,00	                600,81	         138,19	44270000
			R1		8100004310		8000000284		07.04.2015		07.04.2015	31.12.2098				51999091								70700000				MWS	A8	Output tax 23%	 23,000	                 49,00	                 39,84	           9,16	44270000
			R1		8100004311		8000000287		07.04.2015		07.04.2015	31.12.2098				51639743								70700000				MWS	A8	Output tax 23%	 23,000	                 34,30	                 27,89	           6,41	44270000
			R1		8100004311		8000000287		07.04.2015		07.04.2015	31.12.2098				51639743								70700000				MWS	A8	Output tax 23%	 23,000	                 16,03	                 13,03	           3,00	44270000
			R1		8100004311		8000000287		07.04.2015		07.04.2015	31.12.2098				51639743								70700000				MWS	A8	Output tax 23%	 23,000	                 28,00	                 22,76	           5,24	44270000
			R1		8100004311		8000000287		07.04.2015		07.04.2015	31.12.2098				51639743								70700000				MWS	A8	Output tax 23%	 23,000	                 33,00	                 26,83	           6,17	44270000
			R1		8100004312		8000000290		07.04.2015		07.04.2015	31.12.2098				52002990								70700000				MWS	A8	Output tax 23%	 23,000	                130,90	                106,42	          24,48	44270000
			R1		8100004313		8000000293		07.04.2015		07.04.2015	31.12.2098				52006252								70700000				MWS	A8	Output tax 23%	 23,000	              2.549,00	              2.072,36	         476,64	44270000
			R1		8100004314		8000000296		07.04.2015		07.04.2015	31.12.2098				52006252								70700000				MWS	A8	Output tax 23%	 23,000	              2.549,00	              2.072,36	         476,64	44270000
			R1		8100004319		8000000299		07.04.2015		07.04.2015	31.12.2098				51999091								70700000				MWS	A8	Output tax 23%	 23,000	                103,00	                 83,74	          19,26	44270000
			R1		8100004323		8000000302		07.04.2015		07.04.2015	31.12.2098				51991058								70700000				MWS	A8	Output tax 23%	 23,000	                102,00	                 82,93	          19,07	44270000
			R1		8100004324		8000000305		07.04.2015		07.04.2015	31.12.2098				51941818								70700000				MWS	A8	Output tax 23%	 23,000	              3.219,00	              2.617,07	         601,93	44270000
			R1		8100004324		8000000305		07.04.2015		07.04.2015	31.12.2098				51941818								70700000				MWS	A8	Output tax 23%	 23,000	                 22,00	                 17,89	           4,11	44270000
			R1		8100004325		8000000308		07.04.2015		07.04.2015	31.12.2098				51909897								70700000			7431748014	MWS	A8	Output tax 23%	 23,000	              1.399,00	              1.137,40	         261,60	44270000
			R1		8100004332		8000000311		07.04.2015		07.04.2015	31.12.2098				51984753								70700000				MWS	A8	Output tax 23%	 23,000	                 46,00	                 37,40	           8,60	44270000
			R1		8100004332		8000000311		07.04.2015		07.04.2015	31.12.2098				51984753								70700000				MWS	A8	Output tax 23%	 23,000	                 10,00	                  8,13	           1,87	44270000
			R1		8100004337		8000000314		07.04.2015		07.04.2015	31.12.2098				51939591								70700000				MWS	A8	Output tax 23%	 23,000	              1.919,00	              1.560,16	         358,84	44270000
			R1		8100004338		8000000317		07.04.2015		07.04.2015	31.12.2098				51734759								70700000				MWS	A8	Output tax 23%	 23,000	                173,00	                140,65	          32,35	44270000
			R1		8100004339		8000000320		07.04.2015		07.04.2015	31.12.2098				51675090								70700000				MWS	A8	Output tax 23%	 23,000	                 39,00	                 31,71	           7,29	44270000
			R1		8100004339		8000000320		07.04.2015		07.04.2015	31.12.2098				51675090								70700000				MWS	A8	Output tax 23%	 23,000	                 75,01	                 60,98	          14,03	44270000
